Column1,nickname,text,score,like,dislike,time,watch_movie
0,바바바바바(hung****),우한사태를 정확히예측,10,2580,82,2020-01-24 12:28,0
1,다마돌이(mand****),2020 1월에 보신분 추천,10,1699,37,2020-01-27 1:29,0
3,이재성(stre****),우한폐렴 성지가되리라,10,978,49,2020-01-26 1:04,0
4,Faint Smile(tere****),10점 안박냐 현실이 됬다 ㅋㅋㅋ,10,864,35,2020-01-24 6:37,0
7,해바라기(assu****),재평가가 시급한 영화...,10,751,7,2020-01-26 17:05,0
10,블루베리(wnsg****),영화가 현실이 됬네요?스토리 반영 똑같습니다 소름,10,568,8,2020-01-25 10:44,0
12,LES(eter****),코로나 바이러스 중국 우한에서 발생한 박쥐가 전염성 매개체라고 뉴스에 나오는데 영화에서도 박쥐나오네요 박쥐는 190여개의 바이러스를 가지고 있고 박쥐가 개나 고양이랑 접촉을 하면 사람에게 옮고 사실 15년때 사스도 ...,9,528,36,2020-01-23 17:04,0
13,70010(geto****),이건 영화가 아니라 우한폐렴 예언 다큐멘터리다,10,412,4,2020-01-27 1:16,0
14,thunderstruck(sung****),우한 코로나 변종 바이러스의 예언을 이 영화가 하고 있다.,10,411,5,2020-01-26 18:03,0
18,꾸렁이(vipe****),우한 폐렴을 예견한 영화. 이글은 곧 성지가 됩니다.,10,331,16,2020-01-27 11:04,0
19,윤봄(hyer****),이거 작년에 학교 교양듣다가 본 영화인데..우한 사태 터지자마자 바로 생각남ㅜㅜㅠ감독은 몇년 앞을 내다봄거임..?중국 그 드러운 위생상태에서 시작된것도 똑같아서 소름ㅠㅠㅠㅠ,10,305,9,2020-01-25 20:17,0
20,jull****,지금 우한상황 보면서 딱 먼저 떠오른 영화!!! 이영화 볼땐 너무 현실적이라 무서웠는데 지금은 현실이 너무 영화같아 공포스러운 ㅠㅜ,10,301,6,2020-01-24 20:11,0
21,kmh4****,9년전에 경고했는데..,10,260,2,2020-01-26 0:41,0
24,SJL(ljs2****),이게 왜 평점 6점대지? 중국발 평점 테러인가? 이 영화는 미래의 우한 코로나 바이러스 사태를 9년 앞서 제작한 실화 영화이다,10,242,4,2020-01-24 13:06,0
25,박준서(iwbe****),요즘 우한코로나 상황하고 싱크로 90% 이상...ㄷㄷㄷ,10,210,4,2020-01-27 5:01,0
27,오션(lkh1****),이영화는 지금 재조명 되어야 한다~ 신종 코로나바이러스 / 중국 우한..동물에서 인간전염...인간대 인간 전염..그리고 WHO 대응...마치 예언서가 되어버린거 같은 영화 너무 리얼해서 당시엔 대중에게 외면 당한 영...,10,201,3,2020-01-24 18:14,0
28,메리하트(buin****),마지막 박쥐장면.. Day 1 소름돋네요,10,184,4,2020-01-30 0:19,0
29,헬창(jnam****),언제나 그렇듯 영화가 현실이 됐네.. 하 중국 개에바야,10,169,2,2020-01-25 9:14,0
31,아티스트(osth****),소름 돋을 정도로 놀라운 지금의 중국 현실을 그려냈다. 그것도 9년 전에.,10,137,0,2020-01-25 22:41,0
32,BIG BOSS(deen****),이건 예언서이자 다큐지 진짜 똑 같잖아,10,131,0,2020-01-27 9:32,0
33,짱하이(zzzz****),2020년 1월에 보면 지리는 영화,10,131,3,2020-01-27 1:29,0
34,sam(viva****),"오늘 날짜 홍콩에서 신종 코로나 백신 개발한다는 기사 뜸.상용화 되기까지 1년 소요된다는 소식과 함께.이정도면 이 영화는 발원지(중화권), 박쥐, 바이러스 증상, 백신개발 이 모든게 정확한 예언 아닌가.. 소름이다....",9,114,4,2020-01-29 15:55,0
35,투바투 사랑해(rlag****),이제 곧 영화가 현실로...,10,110,1,2020-01-25 17:41,0
36,pakh****,"발병지가 중국, 감염원이 박쥐 모든게 우한폐렴과 맞아떨어진다.. 너무소름돋네",10,107,2,2020-01-27 5:08,0
39,pooh****,스티븐 소더버그는 10년후를 정확히 예상했다.,9,85,1,2020-01-24 1:18,0
42,Destiny(hm55****),성지순례 왔습니다. 바이러스에 감염되지 않게 해주세요.,10,79,4,2020-01-27 19:24,0
43,미년미년(e_hu****),정말 담담하게 현재 계속되는 바이러스 사태를 보여주는 영화 2011년도 영화임에도 불구하고 2020년 지금 똑같은 상황이 연출되고 있는게 소름인 영화,10,73,1,2020-01-24 20:36,0
47,살충제(rona****),"who가 중국한테 돈 받아 처먹고, 축소 발표하는 것까지 예측한 무서운 실화",8,68,2,2020-02-08 0:06,0
48,열심히(fren****),짱깨이 조선족들아 박쥐를 왜 처먹어 박쥐를  처먹을께 그렇게 없냐 니네 똥싼거 다시 처먹어라 그게 낫겠다,9,74,8,2020-01-29 19:36,0
49,고장난시계(chic****),"진짜 우한폐렴이랑 똑같음... 미래를 보고 영화를 만든것 같다.ㅋㅋㅋ 아 그리고 김어x,주진x기자 같은 사람은 어디에도 있구나~ㅋㅋ",10,75,13,2020-01-30 1:04,0
50,센슈어스(baio****),우한폐렴 실사판,10,61,1,2020-01-27 13:36,0
51,miel달(miel****),진짜 공룡이 아니라 중국이 멸망했어야했다 미개하고 학습효과없고 이기적이고 개념없는 중국. 지들이 병 만들고 카워놓고 남의나라에서 요란스레 더 마스크쓰고 질색하고다녀 니들이 제일 드럽거든..,6,60,3,2020-01-29 22:38,0
52,마루미르(ruin****),평점 실화임?! 뭐지? 바이러스 재난 영화중 이만큼 현실적으로 그려낸 영화 없는데ㅎ 배우들도 훌륭하고...말도 안되는 고평점이 넘쳐나는 네이버라면 적어도 8점대 중후반은 나와야지 나참...,10,55,0,2020-01-23 17:11,0
53,슝슝슝(tmdb****),영화 감독들의 혜안은 정말 대단하다...10년뒤를 이렇게 미리 그려내다니...주드로가 연기한 인물은 요즘 돈에환장한 유튜버들을 보는듯...,10,54,0,2020-02-05 0:53,0
54,만성피로(ohju****),우한 폐렴 발생과 전염 경로를 10년 전에 정확히 예측한 영화였다니;;,10,57,3,2020-01-27 1:27,0
56,Liz(rudg****),지금 코로나 바이러스 때문에 난린데 소름이 다 끼치더라 근데 평점 누가 테러함?,10,56,3,2020-01-25 13:40,0
57,김정훈(bpwa****),처음에 봤을때는 전염병에 무지해서 스토리가 너무 오바스럽다고 생각했는데 우한 폐렴 때문에 한국영화 감기랑 이거 2개 생각이 나서 연휴기간에 다시 봤는데 컨테이젼이 연기와 상황이 너무 디테일하네요. 이 영화는 2020...,10,52,0,2020-01-27 14:12,0
