Column1,nickname,text,score,like,dislike,time,watch_movie
0,강동원(bell****),보는내내 스나이더랑 분당 국회의원 죽이고싶엇던사람 손,10,8611,750,2013-08-14 20:43,0
1,ttas****,극중 차인표같은 대통령 나오길 기대합니다,10,8038,632,2013-08-15 2:35,0
2,동윤만세(ghdi****),주 조연 보다 차인표가 두세배더 기억에 남는다.,8,5579,546,2013-08-14 22:58,0
3,youm****,장혁이 항체보유자일것같다 손,10,5312,740,2013-08-16 15:35,0
4,rhkr****,군인이재일불쌍울뻔함엄마감기걸렸을때군이아진심나도군대갔다왔는데개슬프다,10,4361,504,2013-08-15 9:40,0
5,Tnokit(kywu****),재밌는데 왜그랴,10,1908,578,2013-08-15 12:25,0
6,cheese stick(dodo****),늘 생각 하는건데 우리나라 재난영화에 좀 억지가 있는듯.. 감동은주나 슬프지는 않고 주인공은 무적인가?;;,5,2174,952,2013-08-14 23:00,0
7,토익(hi97****),처음 본 사람 딸을 위해 목숨까지 바치려고 한다는 억지스러운 설정에 애는 왜그렇게 싸돌아다니는지; 한시간 반동안 속터지는 영화,1,1514,298,2013-08-16 2:38,0
8,1021****,2시간 내내 징징대는 꼬맹이 말안듣고 겁나 사고만쳐대고 보는내내 개빡,1,1981,791,2013-08-16 1:21,0
9,바이올렛(viol****),진짜알바쩐닼ㅋㅋㅋㅋㅋㅋㅋㅋ 난 이거보고 한달동안 받을 스트레스와 빡침을 두시간으로 압축해서받은느낌^^ 그리고 진정한 항체가진사람은 이희준과 장혁임. 이희준은 감염자랑 같이 트럭타고 같이 약국가고 만지고 난리를 쳤지만...,1,1742,715,2013-08-15 16:24,0
10,쿠지(daji****),재난영화 뻔하다 뻔하다 하지만 단순한 재난영화라고 치고는 감동도잇고 생각할 거리도 잇었고 좋앗어요 미국이랑 우리나라 관계? 혹은 군사진압등의 시대상을 반영? 이라고 해야할까 차인표씨연기도너무멋잇고.그냥 훈훈하게.볼만...,8,1287,385,2013-08-15 12:25,0
11,수현(tngu****),영화에서 정부에대한 답답함 무자비함에 화가낫지만 그속에서 국민을지키려는 대통령은 너무 멋잇엇고 장혁이너무멋잇네요ㅎㅎ,10,939,216,2013-08-14 12:10,0
12,ya50****,살다 살다 리뷰남기는 거 처음. 수애나 장혁 그리고 민하의 연기력튼 10점이지만 오글거리는 스토리 말도안되는 우연의 연속 불사조 장혁 이해안되는영웅심.. 도대체 훌륭한 배우들을 .....에휴..진짜 최악최악!!,1,1219,530,2013-08-16 4:57,0
13,giht****,난재밋었음,10,1010,333,2013-08-15 12:13,0
14,a019****,영화제목바꿔야될듯.. 미르를찾아서로 아 진짜 돈이너무아까워서 웃음이나올정도  저좋은배우들로 이렇게까지 저급영화를 만들줄이야.. PPL뿐이고 같은소속사 신인배우들 끼워넣기에 눈물짜내려 막넣은 장면들까지 보지마소 진짜요...,1,1345,683,2013-08-14 17:30,0
15,boy7****,"아..진짜 댓글알바가 있구나...하루종일 미르만 찾아다니는 영화.주인공이 진짜 개짜증나는 영화.주인공은 절대 감염안되는 뻔한 휴먼재난영화.각본,연기,액션 모두 별로인 최악의영화",1,941,354,2013-08-15 15:47,0
16,일루머나티13(refi****),돈주고 보기엔 퀄러티가 너무 떨어지네.. 미르(아이) 내세워서 눈물 팔기. 역시 우리나라 사람은 감정에 호소해야 재미있다고 느끼는건지.   일정 부분의 퀄러티가 담보되지 않은 조잡한 구성입니다. 좀더 잘 만드셔야 할...,1,847,375,2013-08-15 15:08,0
17,ㅁㅁㄴ(dasa****),"이건 아닙니다.   차인표 대통령... 리얼리티가 너무 떨어지네요... 장혁은 왜 병 안걸립니까? 그리고   억지스러운 설정,   씨지 처리는 정말 집에서 개인이 만든 수준으로 보이네요.. 주유소 폭발하는데. 저게 ...",1,719,254,2013-08-15 15:06,0
18,파도(sjdk****),솔직히 너무 개연성이 떨어지고 스토리가 산으로 가는 영화입미다,1,637,246,2013-08-15 16:54,0
19,더워하드(plsf****),1. 장혁과 수애는 불사신. 마스크없이 유일하게 안걸림 2. CG는 우라메 연상 3. 차인표 대통령  4. 95년도 미국영화 아웃브레이크 한국판 5. 극장내 에어컨 가동은 인상적,1,605,215,2013-08-15 12:43,0
20,웜홀(jhle****),진심.. 애시키 이마에 총알을 박아 버리고 싶음 한시간 반동안 애 찾다 끝난 영화 !!우리엄마 쏘지마요에서 결국 버티지 못하고 지인들과 나옴.,1,717,327,2013-08-15 16:30,0
21,rEstart(ther****),설정 전개 존나 억지스럽네 진짜,1,574,202,2013-08-15 18:17,0
22,kxv2****,평점10점들 보면 다 배우칭찬뿐이네 ㅋㅋㅋㅋㅋ 그게 이 영화가 졸작이라는것을 증명해주는 부분,1,576,217,2013-08-15 16:49,0
23,지구정복(sini****),너무하내 진짜 내가 왠만하면 그냥 보겠는데 아니무슨 영화시간늘리려고 일부러 일을 만들어 얘내들은,1,531,221,2013-08-15 16:57,0
