,nickname,text,score,like,dislike,time,watch_movie
0,모모(deli****),일어날 수 있는 일이라 느껴짐.,10,2,0,2020-01-02 14:05:00,0
1,솔단이(bung****),"아무도, 누구도 만져서는 안되는 원인을 알수 없는 바이러스 전염병에 관한 진실의 은폐와 음모론의 확산과 공포에 관한 미스터리, 스릴러영화다. 인간이 살아가면서 가장 무서운 것은 원인도 형체도 모르는 세균과 바이러스에...",9,2,1,2019-12-25 07:28:00,0
2,헌터(hunt****),점수 와이러노~~~~,10,1,0,2019-12-24 23:23:00,0
3,자유인(jins****),,10,1,0,2019-12-13 20:45:00,0
4,사람(huma****),전염병으로 인해 생길수 있는 일을 잘 묘사했는데 왜캐 평점이 낮은거지 나름 현실 잘 반영한 명작인데....,9,3,0,2019-12-13 17:25:00,0
5,goan****,영화의 재미를위해 자극적인것에 편향하지않고 사실적으로 표현하기위해 노력한점이 보인다 지루해한 사람들은 자극적인 소재를 기대해서그런듯...,10,2,0,2019-12-10 07:36:00,0
6,rapido(dudm****),싸워라!!    네티즌 VS평론가s,10,1,0,2019-12-07 05:47:00,0
7,인생은힘든것(qequ****),굿~~ 우연히 봤는데 디게.재미있게.잘 봄,10,1,0,2019-12-07 03:21:00,0
8,곰팅(yeon****),나 약사하는데 이거 충분히 일어날 수 있는 상황만 딱 정리해서 보여줬음.... 미쳤다 진짜 이게 왜 7점도안되냐... 정말 수준 낮다,10,112,7,2019-12-06 23:49:00,0
9,Lucid(mild****),"현대인이라면 누구나 다 아는 세상의 어두운 진실같은 다큐라 지루했다 운운하며 평점 테러한 사람들이, 의외로 많다는 사실에 더 암울했다. 사람들은 생각보다 현실을 잘 모른다. 자신의 울타리안에서 본 것이 전부라 믿거나...",10,1,0,2019-12-05 03:32:00,0
